,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
187,Dial M for Murder,1954,A,105.0,8.2,75.0,Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams,158335,12562.0,Crime,Dial,M,for,Murder,,,,,,,,,
190,All About Eve,1950,Passed,138.0,8.2,98.0,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,120539,10177.0,Drama,All,About,Eve,,,,,,,,,,
191,The Treasure of the Sierra Madre,1948,Passed,126.0,8.2,98.0,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,114304,5014000.0,Adventure,The,Treasure,of,the,Sierra,Madre,,,,,,,
195,Portrait de la jeune fille en feu,2019,R,122.0,8.1,95.0,Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino,63134,3759854.0,Drama,Portrait,de,la,jeune,fille,en,feu,,,,,,
199,Ah-ga-ssi,2016,A,145.0,8.1,84.0,Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri,113649,2006788.0,Drama,Ah-ga-ssi,,,,,,,,,,,,
200,Mommy,2014,R,139.0,8.1,74.0,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,50700,3492754.0,Drama,Mommy,,,,,,,,,,,,
202,Logan,2017,A,137.0,8.1,77.0,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,647884,226277068.0,Action,Logan,,,,,,,,,,,,
203,Room,2015,R,118.0,8.1,86.0,Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson,371538,14677674.0,Drama,Room,,,,,,,,,,,,
204,Relatos salvajes,2014,R,122.0,8.1,77.0,Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,177059,3107072.0,Comedy,Relatos,salvajes,,,,,,,,,,,
209,The Grand Budapest Hotel,2014,UA,99.0,8.1,88.0,Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,707630,59100318.0,Adventure,The,Grand,Budapest,Hotel,,,,,,,,,
210,Gone Girl,2014,A,149.0,8.1,79.0,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,859695,167767189.0,Drama,Gone,Girl,,,,,,,,,,,
212,Hacksaw Ridge,2016,A,139.0,8.1,71.0,Mel Gibson,Andrew Garfield,Sam Worthington,Luke Bracey,Teresa Palmer,435928,67209615.0,Biography,Hacksaw,Ridge,,,,,,,,,,,
213,Inside Out,2015,U,95.0,8.1,94.0,Pete Docter,Ronnie Del Carmen,Amy Poehler,Bill Hader,Lewis Black,616228,356461711.0,Animation,Inside,Out,,,,,,,,,,,
215,12 Years a Slave,2013,A,134.0,8.1,96.0,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,640533,56671993.0,Biography,12,Years,a,Slave,,,,,,,,,
216,Rush,2013,UA,123.0,8.1,74.0,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,432811,26947624.0,Action,Rush,,,,,,,,,,,,
217,Ford v Ferrari,2019,UA,152.0,8.1,81.0,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,291289,117624028.0,Action,Ford,v,Ferrari,,,,,,,,,,
218,Spotlight,2015,A,129.0,8.1,93.0,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,420316,45055776.0,Biography,Spotlight,,,,,,,,,,,,
219,Song of the Sea,2014,PG,93.0,8.1,85.0,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan,51679,857524.0,Animation,Song,of,the,Sea,,,,,,,,,
222,Prisoners,2013,A,153.0,8.1,70.0,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,601149,61002302.0,Crime,Prisoners,,,,,,,,,,,,
223,Mad Max: Fury Road,2015,UA,120.0,8.1,90.0,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,882316,154058340.0,Action,Mad,Max:,Fury,Road,,,,,,,,,
225,Gran Torino,2008,R,116.0,8.1,72.0,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,720450,148095302.0,Drama,Gran,Torino,,,,,,,,,,,
226,Harry Potter and the Deathly Hallows: Part 2,2011,UA,130.0,8.1,85.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,764493,381011219.0,Adventure,Harry,Potter,and,the,Deathly,Hallows:,Part,2,,,,,
227,Okuribito,2008,PG-13,130.0,8.1,68.0,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,48582,1498210.0,Drama,Okuribito,,,,,,,,,,,,
230,How to Train Your Dragon,2010,U,98.0,8.1,75.0,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,666773,217581231.0,Animation,How,to,Train,Your,Dragon,,,,,,,,
231,Into the Wild,2007,R,148.0,8.1,73.0,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,572921,18354356.0,Adventure,Into,the,Wild,,,,,,,,,,
232,No Country for Old Men,2007,R,122.0,8.1,91.0,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,856916,74283625.0,Crime,No,Country,for,Old,Men,,,,,,,,
234,Million Dollar Baby,2004,UA,132.0,8.1,86.0,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,635975,100492203.0,Drama,Million,Dollar,Baby,,,,,,,,,,
235,Hotel Rwanda,2004,PG-13,121.0,8.1,79.0,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,334320,23530892.0,Biography,Hotel,Rwanda,,,,,,,,,,,
236,Taegukgi hwinalrimyeo,2004,R,140.0,8.1,64.0,Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,37820,1111061.0,Action,Taegukgi,hwinalrimyeo,,,,,,,,,,,
237,Before Sunset,2004,R,80.0,8.1,90.0,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,236311,5820649.0,Drama,Before,Sunset,,,,,,,,,,,
239,Salinui chueok,2003,UA,131.0,8.1,82.0,Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,139558,14131.0,Crime,Salinui,chueok,,,,,,,,,,,
241,Kill Bill: Vol. 1,2003,R,111.0,8.1,69.0,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,1000639,70099045.0,Action,Kill,Bill:,Vol.,1,,,,,,,,,
242,Finding Nemo,2003,U,100.0,8.1,90.0,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,949565,380843261.0,Animation,Finding,Nemo,,,,,,,,,,,
243,Catch Me If You Can,2002,A,141.0,8.1,75.0,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,832846,164615351.0,Biography,Catch,Me,If,You,Can,,,,,,,,
244,Amores perros,2000,A,154.0,8.1,83.0,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,223741,5383834.0,Drama,Amores,perros,,,,,,,,,,,
245,"Monsters, Inc.",2001,U,92.0,8.1,79.0,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,815505,289916256.0,Animation,"Monsters,",Inc.,,,,,,,,,,,
247,Lagaan: Once Upon a Time in India,2001,U,224.0,8.1,84.0,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,105036,70147.0,Adventure,Lagaan:,Once,Upon,a,Time,in,India,,,,,,
248,The Sixth Sense,1999,A,107.0,8.1,64.0,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,911573,293506292.0,Drama,The,Sixth,Sense,,,,,,,,,,
249,La leggenda del pianista sull'oceano,1998,U,169.0,8.1,58.0,Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,59020,259127.0,Drama,La,leggenda,del,pianista,sull'oceano,,,,,,,,
250,The Truman Show,1998,U,103.0,8.1,90.0,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,939631,125618201.0,Comedy,The,Truman,Show,,,,,,,,,,
251,"Crna macka, beli macor",1998,R,127.0,8.1,73.0,Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini,50862,348660.0,Comedy,Crna,"macka,",beli,macor,,,,,,,,,
252,The Big Lebowski,1998,R,117.0,8.1,71.0,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,732620,17498804.0,Comedy,The,Big,Lebowski,,,,,,,,,,
253,Fa yeung nin wah,2000,U,98.0,8.1,85.0,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung,124383,2734044.0,Drama,Fa,yeung,nin,wah,,,,,,,,,
254,Trainspotting,1996,A,93.0,8.1,83.0,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,634716,16501785.0,Drama,Trainspotting,,,,,,,,,,,,
255,Fargo,1996,A,98.0,8.1,85.0,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,617444,24611975.0,Crime,Fargo,,,,,,,,,,,,
259,Before Sunrise,1995,R,101.0,8.1,77.0,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,272291,5535405.0,Drama,Before,Sunrise,,,,,,,,,,,
260,Trois couleurs: Rouge,1994,U,99.0,8.1,100.0,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,90729,4043686.0,Drama,Trois,couleurs:,Rouge,,,,,,,,,,
261,Chung Hing sam lam,1994,U,102.0,8.1,77.0,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,63122,600200.0,Comedy,Chung,Hing,sam,lam,,,,,,,,,
262,Jurassic Park,1993,UA,127.0,8.1,68.0,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,867615,402453882.0,Action,Jurassic,Park,,,,,,,,,,,
263,In the Name of the Father,1993,UA,133.0,8.1,84.0,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,156842,25010410.0,Biography,In,the,Name,of,the,Father,,,,,,,
266,Dead Poets Society,1989,U,128.0,8.1,79.0,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,425457,95860116.0,Comedy,Dead,Poets,Society,,,,,,,,,,
267,Stand by Me,1986,U,89.0,8.1,75.0,Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,363401,52287414.0,Adventure,Stand,by,Me,,,,,,,,,,
268,Platoon,1986,A,120.0,8.1,92.0,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,381222,138530565.0,Drama,Platoon,,,,,,,,,,,,
269,"Paris, Texas",1984,U,145.0,8.1,78.0,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,91188,2181987.0,Drama,"Paris,",Texas,,,,,,,,,,,
270,Kaze no tani no Naushika,1984,U,117.0,8.1,86.0,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,150924,495770.0,Animation,Kaze,no,tani,no,Naushika,,,,,,,,
271,The Thing,1982,A,109.0,8.1,57.0,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,371271,13782838.0,Horror,The,Thing,,,,,,,,,,,
272,Pink Floyd: The Wall,1982,UA,95.0,8.1,47.0,Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,76081,22244207.0,Drama,Pink,Floyd:,The,Wall,,,,,,,,,
274,Fanny och Alexander,1982,A,188.0,8.1,100.0,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,57784,4971340.0,Drama,Fanny,och,Alexander,,,,,,,,,,
275,Blade Runner,1982,UA,117.0,8.1,84.0,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,693827,32868943.0,Action,Blade,Runner,,,,,,,,,,,
277,Life of Brian,1979,R,94.0,8.1,77.0,Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,367250,20045115.0,Comedy,Life,of,Brian,,,,,,,,,,
278,The Deer Hunter,1978,A,183.0,8.1,86.0,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,311361,48979328.0,Drama,The,Deer,Hunter,,,,,,,,,,
279,Rocky,1976,U,120.0,8.1,70.0,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,518546,117235247.0,Drama,Rocky,,,,,,,,,,,,
283,Chinatown,1974,UA,130.0,8.1,92.0,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,294230,29000000.0,Drama,Chinatown,,,,,,,,,,,,
284,Paper Moon,1973,U,102.0,8.1,77.0,Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,42285,30933743.0,Comedy,Paper,Moon,,,,,,,,,,,
288,Cool Hand Luke,1967,A,127.0,8.1,92.0,Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,161984,16217773.0,Crime,Cool,Hand,Luke,,,,,,,,,,
293,What Ever Happened to Baby Jane?,1962,Passed,134.0,8.1,75.0,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,50058,4050000.0,Drama,What,Ever,Happened,to,Baby,Jane?,,,,,,,
300,Ben-Hur,1959,U,212.0,8.1,90.0,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,219466,74700000.0,Adventure,Ben-Hur,,,,,,,,,,,,
304,The Bridge on the River Kwai,1957,PG,161.0,8.1,87.0,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,203463,44908000.0,Adventure,The,Bridge,on,the,River,Kwai,,,,,,,
305,On the Waterfront,1954,A,108.0,8.1,91.0,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,142107,9600000.0,Crime,On,the,Waterfront,,,,,,,,,,
307,Ace in the Hole,1951,Approved,111.0,8.1,72.0,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,31568,3969893.0,Drama,Ace,in,the,Hole,,,,,,,,,
309,The Third Man,1949,Approved,104.0,8.1,97.0,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,158731,449191.0,Film-Noir,The,Third,Man,,,,,,,,,,
312,Rebecca,1940,Approved,130.0,8.1,86.0,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,123942,4360000.0,Drama,Rebecca,,,,,,,,,,,,
313,Mr. Smith Goes to Washington,1939,Passed,129.0,8.1,73.0,Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,107017,9600000.0,Comedy,Mr.,Smith,Goes,to,Washington,,,,,,,,
314,Gone with the Wind,1939,U,238.0,8.1,97.0,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,290074,198676459.0,Drama,Gone,with,the,Wind,,,,,,,,,
316,It Happened One Night,1934,Approved,105.0,8.1,87.0,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,94016,4360000.0,Comedy,It,Happened,One,Night,,,,,,,,,
327,La La Land,2016,A,128.0,8.0,94.0,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,505918,151101803.0,Comedy,La,La,Land,,,,,,,,,,
328,Lion,2016,U,118.0,8.0,69.0,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,213970,51739495.0,Biography,Lion,,,,,,,,,,,,
329,The Martian,2015,UA,144.0,8.0,80.0,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,760094,228433663.0,Adventure,The,Martian,,,,,,,,,,,
330,Zootopia,2016,U,108.0,8.0,78.0,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,434143,341268248.0,Animation,Zootopia,,,,,,,,,,,,
332,Kaguyahime no monogatari,2013,U,137.0,8.0,89.0,Isao Takahata,Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden,38746,1506975.0,Animation,Kaguyahime,no,monogatari,,,,,,,,,,
333,Wonder,2017,U,113.0,8.0,66.0,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,141923,132422809.0,Drama,Wonder,,,,,,,,,,,,
334,Gully Boy,2019,UA,154.0,8.0,65.0,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,31886,5566534.0,Drama,Gully,Boy,,,,,,,,,,,
336,Short Term 12,2013,R,96.0,8.0,82.0,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,81770,1010414.0,Drama,Short,Term,12,,,,,,,,,,
337,Serbuan maut 2: Berandal,2014,A,150.0,8.0,71.0,Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,114316,2625803.0,Action,Serbuan,maut,2:,Berandal,,,,,,,,,
338,The Imitation Game,2014,UA,114.0,8.0,73.0,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,685201,91125683.0,Biography,The,Imitation,Game,,,,,,,,,,
339,Guardians of the Galaxy,2014,UA,121.0,8.0,76.0,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1043455,333176600.0,Action,Guardians,of,the,Galaxy,,,,,,,,,
340,Blade Runner 2049,2017,UA,164.0,8.0,81.0,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,461823,92054159.0,Action,Blade,Runner,2049,,,,,,,,,,
341,Her,2013,A,126.0,8.0,90.0,Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,540772,25568251.0,Drama,Her,,,,,,,,,,,,
342,Bohemian Rhapsody,2018,UA,134.0,8.0,49.0,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,450349,216428042.0,Biography,Bohemian,Rhapsody,,,,,,,,,,,
343,The Revenant,2015,A,156.0,8.0,76.0,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,705589,183637894.0,Action,The,Revenant,,,,,,,,,,,
344,The Perks of Being a Wallflower,2012,UA,103.0,8.0,67.0,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,462252,17738570.0,Drama,The,Perks,of,Being,a,Wallflower,,,,,,,
346,The King's Speech,2010,U,118.0,8.0,88.0,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,639603,138797449.0,Biography,The,King's,Speech,,,,,,,,,,
347,The Help,2011,UA,146.0,8.0,62.0,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,428521,169708112.0,Drama,The,Help,,,,,,,,,,,
348,Deadpool,2016,R,108.0,8.0,65.0,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,902669,363070709.0,Action,Deadpool,,,,,,,,,,,,
349,Darbareye Elly,2009,TV-PG,119.0,8.0,87.0,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i,45803,106662.0,Drama,Darbareye,Elly,,,,,,,,,,,
352,My Name Is Khan,2010,UA,165.0,8.0,50.0,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,98575,4018695.0,Drama,My,Name,Is,Khan,,,,,,,,,
354,Slumdog Millionaire,2008,UA,120.0,8.0,84.0,Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,798882,141319928.0,Drama,Slumdog,Millionaire,,,,,,,,,,,
355,Black Swan,2010,A,108.0,8.0,79.0,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,699673,106954678.0,Drama,Black,Swan,,,,,,,,,,,
356,Tropa de Elite,2007,R,115.0,8.0,33.0,José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,98097,8060.0,Action,Tropa,de,Elite,,,,,,,,,,
357,The Avengers,2012,UA,143.0,8.0,69.0,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,1260806,623279547.0,Action,The,Avengers,,,,,,,,,,,
358,Persepolis,2007,PG-13,96.0,8.0,90.0,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,88656,4445756.0,Animation,Persepolis,,,,,,,,,,,,
359,Dallas Buyers Club,2013,R,117.0,8.0,80.0,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn,441614,27298285.0,Biography,Dallas,Buyers,Club,,,,,,,,,,
360,The Pursuit of Happyness,2006,U,117.0,8.0,64.0,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe,448930,163566459.0,Biography,The,Pursuit,of,Happyness,,,,,,,,,
361,Blood Diamond,2006,A,143.0,8.0,64.0,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,499439,57366262.0,Adventure,Blood,Diamond,,,,,,,,,,,
362,The Bourne Ultimatum,2007,UA,115.0,8.0,85.0,Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,604694,227471070.0,Action,The,Bourne,Ultimatum,,,,,,,,,,
363,Bin-jip,2004,U,88.0,8.0,72.0,Ki-duk Kim,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo,50610,238507.0,Crime,Bin-jip,,,,,,,,,,,,
364,Sin City,2005,A,124.0,8.0,74.0,Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen,738512,74103820.0,Crime,Sin,City,,,,,,,,,,,
365,Le scaphandre et le papillon,2007,PG-13,112.0,8.0,92.0,Julian Schnabel,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,103284,5990075.0,Biography,Le,scaphandre,et,le,papillon,,,,,,,,
367,Ratatouille,2007,U,111.0,8.0,96.0,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,641645,206445654.0,Animation,Ratatouille,,,,,,,,,,,,
368,Casino Royale,2006,PG-13,144.0,8.0,80.0,Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,582239,167445960.0,Action,Casino,Royale,,,,,,,,,,,
369,Kill Bill: Vol. 2,2004,A,137.0,8.0,83.0,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,683900,66208183.0,Action,Kill,Bill:,Vol.,2,,,,,,,,,
371,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103.0,8.0,85.0,Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min,77520,2380788.0,Drama,Bom,Yeoareum,Gaeul,Gyeoul,Geurigo,Bom,,,,,,,
372,Mar adentro,2014,U,126.0,8.0,74.0,Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554,2086345.0,Biography,Mar,adentro,,,,,,,,,,,
373,Cinderella Man,2005,UA,144.0,8.0,69.0,Ron Howard,Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti,176151,61649911.0,Biography,Cinderella,Man,,,,,,,,,,,
374,Kal Ho Naa Ho,2003,U,186.0,8.0,54.0,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,63460,1787378.0,Comedy,Kal,Ho,Naa,Ho,,,,,,,,,
375,Mou gaan dou,2002,UA,101.0,8.0,75.0,Andrew Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,117857,169659.0,Action,Mou,gaan,dou,,,,,,,,,,
376,Pirates of the Caribbean: The Curse of the Black Pearl,2003,UA,143.0,8.0,63.0,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,1015122,305413918.0,Action,Pirates,of,the,Caribbean:,The,Curse,of,the,Black,Pearl,,,
377,Big Fish,2003,U,125.0,8.0,58.0,Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange,415218,66257002.0,Adventure,Big,Fish,,,,,,,,,,,
378,The Incredibles,2004,U,115.0,8.0,90.0,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,657047,261441092.0,Animation,The,Incredibles,,,,,,,,,,,
380,Dogville,2003,R,178.0,8.0,60.0,Lars von Trier,Nicole Kidman,Paul Bettany,Lauren Bacall,Harriet Andersson,137963,1530386.0,Crime,Dogville,,,,,,,,,,,,
382,Donnie Darko,2001,R,113.0,8.0,88.0,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,740086,1480006.0,Drama,Donnie,Darko,,,,,,,,,,,
383,Magnolia,1999,R,188.0,8.0,77.0,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman,289742,22455976.0,Drama,Magnolia,,,,,,,,,,,,
384,Dancer in the Dark,2000,U,140.0,8.0,61.0,Lars von Trier,Björk,Catherine Deneuve,David Morse,Peter Stormare,102285,4184036.0,Crime,Dancer,in,the,Dark,,,,,,,,,
385,The Straight Story,1999,U,112.0,8.0,86.0,David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter,82002,6203044.0,Biography,The,Straight,Story,,,,,,,,,,
387,Festen,1998,R,105.0,8.0,82.0,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen,78341,1647780.0,Drama,Festen,,,,,,,,,,,,
388,Central do Brasil,1998,R,110.0,8.0,80.0,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Soia Lira,36419,5595428.0,Drama,Central,do,Brasil,,,,,,,,,,
389,The Iron Giant,1999,PG,86.0,8.0,85.0,Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,172083,23159305.0,Animation,The,Iron,Giant,,,,,,,,,,
391,Sling Blade,1996,R,135.0,8.0,84.0,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,86838,24475416.0,Drama,Sling,Blade,,,,,,,,,,,
392,Secrets & Lies,1996,U,136.0,8.0,91.0,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,37564,13417292.0,Comedy,Secrets,&,Lies,,,,,,,,,,
393,Twelve Monkeys,1995,A,129.0,8.0,74.0,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito,578443,57141459.0,Mystery,Twelve,Monkeys,,,,,,,,,,,
