,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
610,Das weiße Band - Eine deutsche Kindergeschichte,2009,UA,144.0,7.8,82.0,Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur,68715,2222647.0,Drama,Das,weiße,Band,-,Eine,deutsche,Kindergeschichte,,,,,,
611,Män som hatar kvinnor,2009,R,152.0,7.8,76.0,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,208994,10095170.0,Crime,Män,som,hatar,kvinnor,,,,,,,,,
614,The Fighter,2010,UA,116.0,7.8,79.0,David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,340584,93617009.0,Biography,The,Fighter,,,,,,,,,,,
615,Taken,2008,A,90.0,7.8,51.0,Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,564791,145000989.0,Action,Taken,,,,,,,,,,,,
616,The Boy in the Striped Pyjamas,2008,PG-13,94.0,7.8,55.0,Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,190748,9030581.0,Drama,The,Boy,in,the,Striped,Pyjamas,,,,,,,
617,Once,2007,R,86.0,7.8,88.0,John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,110656,9439923.0,Drama,Once,,,,,,,,,,,,
618,The Hobbit: An Unexpected Journey,2012,UA,169.0,7.8,58.0,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,757377,303003568.0,Adventure,The,Hobbit:,An,Unexpected,Journey,,,,,,,,
620,Atonement,2007,R,123.0,7.8,85.0,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,251370,50927067.0,Drama,Atonement,,,,,,,,,,,,
621,Drive,2011,A,100.0,7.8,78.0,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,571571,35061555.0,Crime,Drive,,,,,,,,,,,,
622,American Gangster,2007,A,157.0,7.8,76.0,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,392449,130164645.0,Biography,American,Gangster,,,,,,,,,,,
623,Avatar,2009,UA,162.0,7.8,83.0,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,1118998,760507625.0,Action,Avatar,,,,,,,,,,,,
624,Mr. Nobody,2009,R,141.0,7.8,63.0,Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham,216421,3600.0,Drama,Mr.,Nobody,,,,,,,,,,,
625,Apocalypto,2006,A,139.0,7.8,68.0,Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,291018,50866635.0,Action,Apocalypto,,,,,,,,,,,,
626,Little Miss Sunshine,2006,UA,101.0,7.8,80.0,Jonathan Dayton,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear,439856,59891098.0,Comedy,Little,Miss,Sunshine,,,,,,,,,,
627,Hot Fuzz,2007,UA,121.0,7.8,81.0,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,463466,23637265.0,Action,Hot,Fuzz,,,,,,,,,,,
628,The Curious Case of Benjamin Button,2008,UA,166.0,7.8,70.0,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,589160,127509326.0,Drama,The,Curious,Case,of,Benjamin,Button,,,,,,,
629,Veer-Zaara,2004,U,192.0,7.8,67.0,Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher,49050,2921738.0,Drama,Veer-Zaara,,,,,,,,,,,,
630,Adams æbler,2005,R,94.0,7.8,51.0,Anders Thomas Jensen,Ulrich Thomsen,Mads Mikkelsen,Nicolas Bro,Paprika Steen,45717,1305.0,Comedy,Adams,æbler,,,,,,,,,,,
631,Pride & Prejudice,2005,PG,129.0,7.8,82.0,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,258924,38405088.0,Drama,Pride,&,Prejudice,,,,,,,,,,
